ID,Frequency,Amplitude,Phase,SNR
,(d−1),(ppm),(rad),
ν1 ∼ ν4 − ν3,0.1482 ± 0.0009,63 ± 7,2.2 ± 0.7,7.6
ν2,0.4215 ± 0.0009,49 ± 6,0.9 ± 0.7,7.1
ν3,0.4360 ± 0.0004,151 ± 8,−2.9 ± 0.3,17.5
ν4,0.5798 ± 0.0014,18 ± 3,−2.4 ± 1.1,4
ν5,0.7452 ± 0.0013,25 ± 4,−0.5 ± 1.0,5
ν6,0.7922 ± 0.0012,36 ± 5,−0.5 ± 0.9,6.6
ν7,0.8084 ± 0.0012,28 ± 4,−1.0 ± 1.0,5.2
ν8,0.8266 ± 0.0012,24 ± 7,−0.2 ± 1.0,4.5
ν9 ∼ 2ν3,0.8729 ± 0.0011,35 ± 5,0.8 ± 0.9,5.8
ν10 ∼ 3ν3,1.3051 ± 0.0017,14 ± 3,−2.5 ± 1.4,4.2
ν11 ∼ 2ν8,1.6480 ± 0.0019,18 ± 4,−1.8 ± 1.5,4.9
ν12 ∼ ν6 + ν9,1.6648 ± 0.0011,34 ± 5,−1.8 ± 0.9,5.5
ν13 ∼ 4ν2,1.6871 ± 0.0013,38 ± 6,0.7 ± 1.0,6.9
ν14 ∼ 4ν3,1.7483 ± 0.0019,13 ± 3,−0.2 ± 1.6,4.1
ν15,3.453 ± 0.003,7 ± 3,−3.0 ± 2.6,4.2
ν16,23.731 ± 0.005,5 ± 4,1.3 ± 4.3,4.4
